"(Ti, Pi, Autoignition_time"
(1250.0,50000.0,2.665)
(1190.47619048,50000.0,8.785)
(1136.36363636,50000.0,29.195)
(1086.95652174,50000.0,97.315)
(1041.66666667,50000.0,325.365)
(1000.0,50000.0,999.994999998)
(1250.0,240000.0,1.125)
(1190.47619048,240000.0,3.695)
(1136.36363636,240000.0,12.265)
(1086.95652174,240000.0,40.955)
(1041.66666667,240000.0,136.975)
(1000.0,240000.0,458.915)
(1250.0,430000.0,0.855)
(1190.47619048,430000.0,2.805)
(1136.36363636,430000.0,9.305)
(1086.95652174,430000.0,30.965)
(1041.66666667,430000.0,103.255)
(1000.0,430000.0,345.245)
(1250.0,620000.0,0.735)
(1190.47619048,620000.0,2.395)
(1136.36363636,620000.0,7.915)
(1086.95652174,620000.0,26.255)
(1041.66666667,620000.0,87.405)
(1000.0,620000.0,292.065)
(1250.0,810000.0,0.655)
(1190.47619048,810000.0,2.145)
(1136.36363636,810000.0,7.065)
(1086.95652174,810000.0,23.405)
(1041.66666667,810000.0,77.825)
(1000.0,810000.0,260.045)
(1250.0,1000000.0,0.605)
(1190.47619048,1000000.0,1.965)
(1136.36363636,1000000.0,6.475)
(1086.95652174,1000000.0,21.445)
(1041.66666667,1000000.0,71.275)
(1000.0,1000000.0,238.215)
